Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Text Area 1,Text Area 2,Text Area 3,Text Area 4,Text Area 5
1,Page,,,,,,,,,UML Activity Diagram Example,,,,
2,MinimalTextBlock,Standard,1,,151,,,,,Start,,,,
3,Start,UML,1,,151,,,,,,,,,
4,MinimalTextBlock,Standard,1,,151,,,,,End,,,,
5,End,UML,1,,151,,,,,,,,,
6,MinimalTextBlock,Standard,1,,151,,,,,Branch/merge,,,,
7,Branch/Merge,UML,1,,151,,,,,,,,,
8,MinimalTextBlock,Standard,1,,151,,,,,Horizontal fork/join,,,,
9,Horizontal Fork/Join,UML,1,,151,,,,,,,,,
10,Interrupting Edge,UML,1,,151,,,,,,,,,
11,MinimalTextBlock,Standard,1,,151,,,,,Interrupting edge,,,,
12,Accept Time Event Action,UML,1,,151,,,,,,,,,
13,MinimalTextBlock,Standard,1,,151,,,,,Time event,,,,
14,Flow Final,UML,1,,151,,,,,,,,,
15,MinimalTextBlock,Standard,1,,151,,,,,Final flow,,,,
16,MinimalTextBlock,Standard,1,,151,,,,,Legend,,,,
17,Process,Flowchart Shapes,1,,151,,,,,,,,,
18,Text,Standard,1,,152,,,,,"Ihor Hryshkov  |  July 5, 2020",,,,
19,Text,Standard,1,,152,,,,,EMA_Activity_1.0.0,,,,
20,Multilane Pool,UML,1,,,,,,,Example Messages Application,Component,Service,DB,Network
21,Start,UML,1,20,,,,,,,,,,
22,Branch/Merge,UML,1,20,,,,,,,,,,
23,State Name,UML,1,20,,,,,,Show error,,,,
24,State Name,UML,1,20,,,,,,Validate data,,,,
25,State Name,UML,1,20,,,,,,Enter login,,,,
26,Send Signal,UML,1,20,,,,,,Send login(Add or Get) user,,,,
27,Branch/Merge,UML,1,20,,,,,,,,,,
28,State Name,UML,1,20,,,,,,Write user ID,,,,
29,Send Signal,UML,1,20,,,,,,Load list users,,,,
30,Branch/Merge,UML,1,20,,,,,,,,,,
31,Flow Final,UML,1,20,,,,,,,,,,
32,State Name,UML,1,20,,,,,,Write list users,,,,
33,State Name,UML,1,20,,,,,,Add users to users list,,,,
34,State Name,UML,1,20,,,,,,Show chat window without selected user,,,,
35,State Name,UML,1,20,,,,,,Write message,,,,
36,State Name,UML,1,20,,,,,,Validate data,,,,
37,State Name,UML,1,20,,,,,,Validate data,,,,
38,State Name,UML,1,20,,,,,,Validate data,,,,
39,Branch/Merge,UML,1,20,,,,,,,,,,
40,Branch/Merge,UML,1,20,,,,,,,,,,
41,State Name,UML,1,20,,,,,,Show list users,,,,
42,State Name,UML,1,20,,,,,,Select user,,,,
43,State Name,UML,1,20,,,,,,Write message to user chat,,,,
