Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Text Area 1,Text Area 2,Text Area 3,Text Area 4,Text Area 5
1,Page,,,,,,,,,UML Activity Diagram Example,,,,
2,MinimalTextBlock,Standard,1,,59,,,,,Start,,,,
3,Start,UML,1,,59,,,,,,,,,
4,MinimalTextBlock,Standard,1,,59,,,,,End,,,,
5,End,UML,1,,59,,,,,,,,,
6,MinimalTextBlock,Standard,1,,59,,,,,Branch/merge,,,,
7,Branch/Merge,UML,1,,59,,,,,,,,,
8,MinimalTextBlock,Standard,1,,59,,,,,Horizontal fork/join,,,,
9,Horizontal Fork/Join,UML,1,,59,,,,,,,,,
10,Interrupting Edge,UML,1,,59,,,,,,,,,
11,MinimalTextBlock,Standard,1,,59,,,,,Interrupting edge,,,,
12,Accept Time Event Action,UML,1,,59,,,,,,,,,
13,MinimalTextBlock,Standard,1,,59,,,,,Time event,,,,
14,Flow Final,UML,1,,59,,,,,,,,,
15,MinimalTextBlock,Standard,1,,59,,,,,Final flow,,,,
16,MinimalTextBlock,Standard,1,,59,,,,,Legend,,,,
17,Process,Flowchart Shapes,1,,59,,,,,,,,,
18,Text,Standard,1,,60,,,,,"Ihor Hryshkov  |  July 5, 2020",,,,
19,Text,Standard,1,,60,,,,,EMS_CounterActivity_1.0.0,,,,
20,Multilane Pool,UML,1,,,,,,,Get Counters,Controller,Service,DB,Logging
21,Start,UML,1,20,,,,,,,,,,
22,State Name,UML,1,20,,,,,,Validate data,,,,
23,Branch/Merge,UML,1,20,,,,,,,,,,
24,Receive Signal,UML,1,20,,,,,,Request get counters,,,,
25,State Name,UML,1,20,,,,,,Return error,,,,
26,Branch/Merge,UML,1,20,,,,,,,,,,
27,Send Signal,UML,1,20,,,,,,Send logging,,,,
28,Flow Final,UML,1,20,,,,,,,,,,
29,Horizontal Fork/Join,UML,1,20,,,,,,,,,,
30,State Name,UML,1,20,,,,,,Return OK,,,,
31,End,UML,1,20,,,,,,,,,,
32,State Name,UML,1,20,,,,,,Find in cache by user ID,,,,
33,Branch/Merge,UML,1,20,,,,,,,,,,
34,State Name,UML,1,20,,,,,,Load counters DB,,,,
35,Branch/Merge,UML,1,20,,,,,,,,,,
36,Horizontal Fork/Join,UML,1,20,,,,,,,,,,
37,State Name,UML,1,20,,,,,,Store counters in cache,,,,
38,Line,,1,,60,,,None,None,,,,,
39,Line,,1,,,21,24,None,Arrow,,,,,
40,Line,,1,,,24,22,None,Arrow,,,,,
41,Line,,1,,,22,23,None,Arrow,,,,,
42,Line,,1,,,23,32,None,Arrow,Valid,,,,
43,Line,,1,,,27,28,None,Arrow,,,,,
44,Line,,1,,,23,29,None,Arrow,No valid,,,,
45,Line,,1,,,29,25,None,Arrow,,,,,
46,Line,,1,,,29,27,None,Arrow,,,,,
47,Line,,1,,,25,31,None,Arrow,,,,,
48,Line,,1,,,30,31,None,Arrow,,,,,
49,Line,,1,,,32,26,None,Arrow,,,,,
50,Line,,1,,,26,33,None,Arrow,Data found,,,,
51,Line,,1,,,33,30,None,Arrow,Not modified,,,,
52,Line,,1,,,26,34,None,Arrow,Data not found,,,,
53,Line,,1,,,33,34,None,Arrow,Modified,,,,
54,Line,,1,,,34,35,None,Arrow,,,,,
55,Line,,1,,,35,29,None,Arrow,Error load,,,,
56,Line,,1,,,36,30,None,Arrow,,,,,
57,Line,,1,,,36,37,None,Arrow,,,,,
58,Line,,1,,,35,36,None,Arrow,Load OK,,,,
59,Group 1,,1,,,,,,,,,,,
60,Group 2,,1,,,,,,,,,,,
