Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Text Area 1,Text Area 2,Text Area 3,Text Area 4
1,Page,,,,,,,,,UML Activity Diagram Example,,,
2,MinimalTextBlock,Standard,1,,120,,,,,Start,,,
3,Start,UML,1,,120,,,,,,,,
4,MinimalTextBlock,Standard,1,,120,,,,,End,,,
5,End,UML,1,,120,,,,,,,,
6,MinimalTextBlock,Standard,1,,120,,,,,Branch/merge,,,
7,Branch/Merge,UML,1,,120,,,,,,,,
8,MinimalTextBlock,Standard,1,,120,,,,,Horizontal fork/join,,,
9,Horizontal Fork/Join,UML,1,,120,,,,,,,,
10,Interrupting Edge,UML,1,,120,,,,,,,,
11,MinimalTextBlock,Standard,1,,120,,,,,Interrupting edge,,,
12,Accept Time Event Action,UML,1,,120,,,,,,,,
13,MinimalTextBlock,Standard,1,,120,,,,,Time event,,,
14,Flow Final,UML,1,,120,,,,,,,,
15,MinimalTextBlock,Standard,1,,120,,,,,Final flow,,,
16,MinimalTextBlock,Standard,1,,120,,,,,Legend,,,
17,Process,Flowchart Shapes,1,,120,,,,,,,,
18,Text,Standard,1,,121,,,,,"Ihor Hryshkov  |  July 5, 2020",,,
19,Text,Standard,1,,121,,,,,EMS_SendReceiveActivity_1.0.0,,,
20,Multilane Pool,UML,1,,,,,,,Send/Recieve message with two clients,Client1,MessageService,Client2
21,Start,UML,1,20,,,,,,,,,
22,State Name,UML,1,20,,,,,,Load user from storage,,,
23,Branch/Merge,UML,1,20,,,,,,,,,
24,State Name,UML,1,20,,,,,,Enter username,,,
25,Send Signal,UML,1,20,,,,,,Send registeration request,,,
26,Receive Signal,UML,1,20,,,,,,Receive registration request,,,
27,Branch/Merge,UML,1,20,,,,,,,,,
28,Receive Signal,UML,1,20,,,,,,Receive registration response,,,
29,Branch/Merge,UML,1,20,,,,,,,,,
30,State Name,UML,1,20,,,,,,Store user,,,
31,State Name,UML,1,20,,,,,,Store user,,,
32,Send Signal,UML,1,20,,,,,,Send registration respose,,,
33,State Name,UML,1,20,,,,,,"Set user status ""Online""",,,
34,Send Signal,UML,1,20,,,,,,Send get users request,,,
35,Receive Signal,UML,1,20,,,,,,Receive get users request,,,
36,Branch/Merge,UML,1,20,,,,,,,,,
37,Send Signal,UML,1,20,,,,,,Send get users respose,,,
38,State Name,UML,1,20,,,,,,Load users,,,
39,Receive Signal,UML,1,20,,,,,,Receive get user response,,,
40,Branch/Merge,UML,1,20,,,,,,,,,
41,State Name,UML,1,20,,,,,,Show users,,,
42,State Name,UML,1,20,,,,,,"Select user ""Client2""",,,
43,State Name,UML,1,20,,,,,,Enter message,,,
44,Send Signal,UML,1,20,,,,,,Send message request,,,
45,Receive Signal,UML,1,20,,,,,,Receive message request,,,
46,Branch/Merge,UML,1,20,,,,,,,,,
47,State Name,UML,1,20,,,,,,Add user,,,
48,State Name,UML,1,20,,,,,,Show user,,,
49,State Name,UML,1,20,,,,,,Show message,,,
50,Vertical Fork/Join,UML,1,20,,,,,,,,,
51,Send Signal,UML,1,20,,,,,,Send status request,,,
52,Receive Signal,UML,1,20,,,,,,Receive status request,,,
53,State Name,UML,1,20,,,,,,"Set user status ""Online""",,,
54,Receive Signal,UML,1,20,,,,,,Receive status response,,,
55,State Name,UML,1,20,,,,,,Show user status,,,
56,Flow Final,UML,1,20,,,,,,,,,
57,Receive Signal,UML,1,20,,,,,,Receive message response,,,
58,Branch/Merge,UML,1,20,,,,,,,,,
59,Branch/Merge,UML,1,20,,,,,,,,,
60,End,UML,1,20,,,,,,,,,
61,Horizontal Fork/Join,UML,1,20,,,,,,,,,
62,State Name,UML,1,20,,,,,,Init counters,,,
63,Flow Final,UML,1,20,,,,,,,,,
64,Horizontal Fork/Join,UML,1,20,,,,,,,,,
65,State Name,UML,1,20,,,,,,Update counter,,,
66,Flow Final,UML,1,20,,,,,,,,,
67,Line,,1,,121,,,None,None,,,,
68,Line,,1,,,21,22,None,Arrow,,,,
69,Line,,1,,,22,23,None,Arrow,,,,
