Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Text Area 1,Text Area 2,Text Area 3,Text Area 4,Text Area 5,Text Area 6,Text Area 7,Text Area 8
1,Page,,,,,,,,,UML Activity Diagram Example,,,,,,,
2,MinimalTextBlock,Standard,1,,135,,,,,Start,,,,,,,
3,Start,UML,1,,135,,,,,,,,,,,,
4,MinimalTextBlock,Standard,1,,135,,,,,End,,,,,,,
5,End,UML,1,,135,,,,,,,,,,,,
6,MinimalTextBlock,Standard,1,,135,,,,,Branch/merge,,,,,,,
7,Branch/Merge,UML,1,,135,,,,,,,,,,,,
8,MinimalTextBlock,Standard,1,,135,,,,,Horizontal fork/join,,,,,,,
9,Horizontal Fork/Join,UML,1,,135,,,,,,,,,,,,
10,Interrupting Edge,UML,1,,135,,,,,,,,,,,,
11,MinimalTextBlock,Standard,1,,135,,,,,Interrupting edge,,,,,,,
12,Accept Time Event Action,UML,1,,135,,,,,,,,,,,,
13,MinimalTextBlock,Standard,1,,135,,,,,Time event,,,,,,,
14,Flow Final,UML,1,,135,,,,,,,,,,,,
15,MinimalTextBlock,Standard,1,,135,,,,,Final flow,,,,,,,
16,MinimalTextBlock,Standard,1,,135,,,,,Legend,,,,,,,
17,Process,Flowchart Shapes,1,,135,,,,,,,,,,,,
18,Text,Standard,1,,136,,,,,"Ihor Hryshkov  |  July 5, 2020",,,,,,,
19,Text,Standard,1,,136,,,,,EMS_StatusActivity_1.0.1,,,,,,,
20,Multilane Pool,UML,1,,,,,,,Get Statuses,Controller,Service,DB,Logging,,,
21,Start,UML,1,20,,,,,,,,,,,,,
22,State Name,UML,1,20,,,,,,Validate data,,,,,,,
23,Branch/Merge,UML,1,20,,,,,,,,,,,,,
24,Receive Signal,UML,1,20,,,,,,Request get statuses,,,,,,,
25,State Name,UML,1,20,,,,,,Return error,,,,,,,
26,Branch/Merge,UML,1,20,,,,,,,,,,,,,
27,Send Signal,UML,1,20,,,,,,Send logging,,,,,,,
28,Flow Final,UML,1,20,,,,,,,,,,,,,
29,Horizontal Fork/Join,UML,1,20,,,,,,,,,,,,,
30,State Name,UML,1,20,,,,,,Return OK,,,,,,,
31,End,UML,1,20,,,,,,,,,,,,,
32,State Name,UML,1,20,,,,,,Find in cache by query,,,,,,,
33,Branch/Merge,UML,1,20,,,,,,,,,,,,,
34,State Name,UML,1,20,,,,,,Load statuses DB,,,,,,,
35,Branch/Merge,UML,1,20,,,,,,,,,,,,,
36,Horizontal Fork/Join,UML,1,20,,,,,,,,,,,,,
37,State Name,UML,1,20,,,,,,Store statuses in cache,,,,,,,
38,Multilane Pool,UML,1,,,,,,,Update user status,Controller,Service,DB,Logging,MQ,Batch,Web Socket
39,Start,UML,1,38,,,,,,,,,,,,,
40,State Name,UML,1,38,,,,,,Validate data,,,,,,,
41,Branch/Merge,UML,1,38,,,,,,,,,,,,,
42,Receive Signal,UML,1,38,,,,,,Request update user status,,,,,,,
43,State Name,UML,1,38,,,,,,Return error,,,,,,,
44,Branch/Merge,UML,1,38,,,,,,,,,,,,,
45,Send Signal,UML,1,38,,,,,,Send logging,,,,,,,
46,Flow Final,UML,1,38,,,,,,,,,,,,,
47,Horizontal Fork/Join,UML,1,38,,,,,,,,,,,,,
48,State Name,UML,1,38,,,,,,Return OK,,,,,,,
49,End,UML,1,38,,,,,,,,,,,,,
50,State Name,UML,1,38,,,,,,Store data in cache,,,,,,,
51,Send Signal,UML,1,38,,,,,,Send MQ,,,,,,,
52,Horizontal Fork/Join,UML,1,38,,,,,,,,,,,,,
53,Branch/Merge,UML,1,38,,,,,,,,,,,,,
54,Accept Time Event Action,UML,1,38,,,,,,Every 30s,,,,,,,
55,Branch/Merge,UML,1,38,,,,,,,,,,,,,
56,State Name,UML,1,38,,,,,,Reset TTL to (now + 30s),,,,,,,
57,Flow Final,UML,1,38,,,,,,,,,,,,,
58,State Name,UML,1,38,,,,,,Get not finished requests,,,,,,,
59,Branch/Merge,UML,1,38,,,,,,,,,,,,,
60,Flow Final,UML,1,38,,,,,,,,,,,,,
61,Horizontal Fork/Join,UML,1,38,,,,,,,,,,,,,
62,Flow Final,UML,1,38,,,,,,,,,,,,,
63,State Name,UML,1,38,,,,,,Increment counter,,,,,,,
64,Branch/Merge,UML,1,38,,,,,,,,,,,,,
65,Vertical Fork/Join,UML,1,38,,,,,,,,,,,,,
66,Flow Final,UML,1,38,,,,,,,,,,,,,
67,State Name,UML,1,38,,,,,,Move data  from cache to cache history,,,,,,,
68,Branch/Merge,UML,1,38,,,,,,,,,,,,,
69,Branch/Merge,UML,1,38,,,,,,,,,,,,,
70,Send Signal,UML,1,38,,,,,,Send update statuses,,,,,,,
71,Horizontal Fork/Join,UML,1,38,,,,,,,,,,,,,
72,Flow Final,UML,1,38,,,,,,,,,,,,,
73,Line,,1,,136,,,None,None,,,,,,,,
74,Line,,1,,,21,24,None,Arrow,,,,,,,,
75,Line,,1,,,24,22,None,Arrow,,,,,,,,
76,Line,,1,,,22,23,None,Arrow,,,,,,,,
77,Line,,1,,,23,32,None,Arrow,Valid,,,,,,,
78,Line,,1,,,27,28,None,Arrow,,,,,,,,
79,Line,,1,,,23,29,None,Arrow,No valid,,,,,,,
80,Line,,1,,,29,25,None,Arrow,,,,,,,,
81,Line,,1,,,29,27,None,Arrow,,,,,,,,
82,Line,,1,,,25,31,None,Arrow,,,,,,,,
83,Line,,1,,,30,31,None,Arrow,,,,,,,,
84,Line,,1,,,32,26,None,Arrow,,,,,,,,
85,Line,,1,,,26,33,None,Arrow,Data found,,,,,,,
86,Line,,1,,,33,30,None,Arrow,Not modified,,,,,,,
87,Line,,1,,,26,34,None,Arrow,Data not found,,,,,,,
