Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Text Area 1,Text Area 2,Text Area 3,Text Area 4,Text Area 5
1,Page,,,,,,,,,UML Activity Diagram Example,,,,
2,MinimalTextBlock,Standard,1,,96,,,,,Start,,,,
3,Start,UML,1,,96,,,,,,,,,
4,MinimalTextBlock,Standard,1,,96,,,,,End,,,,
5,End,UML,1,,96,,,,,,,,,
6,MinimalTextBlock,Standard,1,,96,,,,,Branch/merge,,,,
7,Branch/Merge,UML,1,,96,,,,,,,,,
8,MinimalTextBlock,Standard,1,,96,,,,,Horizontal fork/join,,,,
9,Horizontal Fork/Join,UML,1,,96,,,,,,,,,
10,Interrupting Edge,UML,1,,96,,,,,,,,,
11,MinimalTextBlock,Standard,1,,96,,,,,Interrupting edge,,,,
12,Accept Time Event Action,UML,1,,96,,,,,,,,,
13,MinimalTextBlock,Standard,1,,96,,,,,Time event,,,,
14,Flow Final,UML,1,,96,,,,,,,,,
15,MinimalTextBlock,Standard,1,,96,,,,,Final flow,,,,
16,MinimalTextBlock,Standard,1,,96,,,,,Legend,,,,
17,Process,Flowchart Shapes,1,,96,,,,,,,,,
18,Text,Standard,1,,97,,,,,"Ihor Hryshkov  |  July 5, 2020",,,,
19,Text,Standard,1,,97,,,,,EMS_UserActivity_1.0.0,,,,
20,Multilane Pool,UML,1,,,,,,,Add User,Controller,Service,DB,Logging
21,Start,UML,1,20,,,,,,,,,,
22,State Name,UML,1,20,,,,,,Validate data,,,,
23,Branch/Merge,UML,1,20,,,,,,,,,,
24,Receive Signal,UML,1,20,,,,,,Request add user,,,,
25,State Name,UML,1,20,,,,,,Return error,,,,
26,State Name,UML,1,20,,,,,,Get username,,,,
27,State Name,UML,1,20,,,,,,Search username in DB,,,,
28,Branch/Merge,UML,1,20,,,,,,,,,,
29,State Name,UML,1,20,,,,,,Store user DB,,,,
30,Branch/Merge,UML,1,20,,,,,,,,,,
31,Send Signal,UML,1,20,,,,,,Send logging,,,,
32,Flow Final,UML,1,20,,,,,,,,,,
33,Horizontal Fork/Join,UML,1,20,,,,,,,,,,
34,State Name,UML,1,20,,,,,,Return OK,,,,
35,End,UML,1,20,,,,,,,,,,
36,Multilane Pool,UML,1,,,,,,,Get Users,Controller,Service,DB,Logging
37,Start,UML,1,36,,,,,,,,,,
38,State Name,UML,1,36,,,,,,Validate data,,,,
39,Branch/Merge,UML,1,36,,,,,,,,,,
40,Receive Signal,UML,1,36,,,,,,Request get users,,,,
41,State Name,UML,1,36,,,,,,Return error,,,,
42,Branch/Merge,UML,1,36,,,,,,,,,,
43,Send Signal,UML,1,36,,,,,,Send logging,,,,
44,Flow Final,UML,1,36,,,,,,,,,,
45,Horizontal Fork/Join,UML,1,36,,,,,,,,,,
46,State Name,UML,1,36,,,,,,Return OK,,,,
47,End,UML,1,36,,,,,,,,,,
48,State Name,UML,1,20,,,,,,Clear cache,,,,
49,Horizontal Fork/Join,UML,1,20,,,,,,,,,,
50,State Name,UML,1,36,,,,,,Find in cache by query hash,,,,
51,Branch/Merge,UML,1,36,,,,,,,,,,
52,State Name,UML,1,36,,,,,,Load users DB,,,,
53,Branch/Merge,UML,1,36,,,,,,,,,,
54,Horizontal Fork/Join,UML,1,36,,,,,,,,,,
55,State Name,UML,1,36,,,,,,Store users in cache,,,,
56,Line,,1,,97,,,None,None,,,,,
57,Line,,1,,,21,24,None,Arrow,,,,,
58,Line,,1,,,24,22,None,Arrow,,,,,
59,Line,,1,,,22,23,None,Arrow,,,,,
60,Line,,1,,,23,26,None,Arrow,Valid,,,,
61,Line,,1,,,26,27,None,Arrow,,,,,
62,Line,,1,,,27,28,None,Arrow,,,,,
63,Line,,1,,,28,29,None,Arrow,User not found,,,,
64,Line,,1,,,29,30,None,Arrow,,,,,
65,Line,,1,,,31,32,None,Arrow,,,,,
66,Line,,1,,,23,33,None,Arrow,No valid,,,,
67,Line,,1,,,33,25,None,Arrow,,,,,
68,Line,,1,,,33,31,None,Arrow,,,,,
69,Line,,1,,,28,33,None,Arrow,User found,,,,
70,Line,,1,,,30,33,None,Arrow,Error store,,,,
71,Line,,1,,,30,49,None,Arrow,Store OK,,,,
72,Line,,1,,,25,35,None,Arrow,,,,,
73,Line,,1,,,34,35,None,Arrow,,,,,
74,Line,,1,,,37,40,None,Arrow,,,,,
75,Line,,1,,,40,38,None,Arrow,,,,,
76,Line,,1,,,38,39,None,Arrow,,,,,
77,Line,,1,,,39,50,None,Arrow,Valid,,,,
78,Line,,1,,,43,44,None,Arrow,,,,,
79,Line,,1,,,39,45,None,Arrow,No valid,,,,
80,Line,,1,,,45,41,None,Arrow,,,,,
81,Line,,1,,,45,43,None,Arrow,,,,,
82,Line,,1,,,41,47,None,Arrow,,,,,
83,Line,,1,,,46,47,None,Arrow,,,,,
84,Line,,1,,,49,34,None,Arrow,,,,,
85,Line,,1,,,49,48,None,Arrow,,,,,
86,Line,,1,,,50,42,None,Arrow,,,,,
87,Line,,1,,,42,51,None,Arrow,Data found,,,,
88,Line,,1,,,51,46,None,Arrow,Not modified,,,,
